city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,geometry
Toronto,Toronto,43.7417,-79.3733,Canada,CA,CAN,Ontario,admin,5647656.0,1124279679,POINT (7223654.847238553 938733.6529031326)
Edmonton,Edmonton,53.5344,-113.4903,Canada,CA,CAN,Alberta,admin,1151635.0,1124290735,POINT (4814937.183966601 2167165.286490534)
Ottawa,Ottawa,45.4247,-75.695,Canada,CA,CAN,Ontario,primary,1068821.0,1124399363,POINT (7471320.140017552 1191037.890271478)
Winnipeg,Winnipeg,49.8844,-97.1464,Canada,CA,CAN,Manitoba,admin,758515.0,1124224963,POINT (5822257.495117272 1542870.600010882)
Quebec City,Quebec City,46.8139,-71.2081,Canada,CA,CAN,Quebec,admin,733156.0,1124823933,POINT (7763096.5391580835 1440936.0914109105)
Halifax,Halifax,44.6475,-63.5906,Canada,CA,CAN,Nova Scotia,admin,439819.0,1124130981,POINT (8411529.113289926 1440508.563567656)
Victoria,Victoria,48.4283,-123.3647,Canada,CA,CAN,British Columbia,admin,363222.0,1124147219,POINT (3958037.1162793296 1932085.5419608622)
Regina,Regina,50.4547,-104.6067,Canada,CA,CAN,Saskatchewan,admin,226404.0,1124342541,POINT (5306112.635262642 1680164.327467157)
St. John's,St. John's,47.4817,-52.7971,Canada,CA,CAN,Newfoundland and Labrador,admin,185565.0,1124741456,POINT (8979981.189062217 2141336.2693627686)
Fredericton,Fredericton,45.9636,-66.6431,Canada,CA,CAN,New Brunswick,admin,64614.0,1124061289,POINT (8128865.67975116 1476835.6990817827)
Charlottetown,Charlottetown,46.2403,-63.1347,Canada,CA,CAN,Prince Edward Island,admin,52390.0,1124897699,POINT (8366290.280536252 1618189.5896736307)
Whitehorse,Whitehorse,60.7029,-135.0691,Canada,CA,CAN,Yukon,admin,28201.0,1124348186,POINT (4080635.819461952 3458137.130873069)
Yellowknife,Yellowknife,62.4709,-114.4053,Canada,CA,CAN,Northwest Territories,admin,20340.0,1124208917,POINT (5095716.127788616 3098308.7503612563)
Iqaluit,Iqaluit,63.7598,-68.5107,Canada,CA,CAN,Nunavut,admin,7740.0,1124379539,POINT (7292535.577889133 3242764.9454347054)
Montréal,Montreal,45.5089,-73.5617,Canada,CA,CAN,Quebec,,3675219.0,1124586170,POINT (7631956.008149708 1245529.571275192)
Calgary,Calgary,51.05,-114.0667,Canada,CA,CAN,Alberta,,1306784.0,1124690423,POINT (4686045.80867828 1923059.0816442051)
London,London,42.9836,-81.2497,Canada,CA,CAN,Ontario,,423369.0,1124469960,POINT (7085822.407615452 825588.4362462731)
Windsor,Windsor,42.2833,-83.0,Canada,CA,CAN,Ontario,,306519.0,1124261024,POINT (6951957.10847169 723886.4796995772)
Saskatoon,Saskatoon,52.1333,-106.6833,Canada,CA,CAN,Saskatchewan,,266141.0,1124612546,POINT (5205621.536679711 1891900.1953220726)
Kelowna,Kelowna,49.8881,-119.4956,Canada,CA,CAN,British Columbia,,181380.0,1124080626,POINT (4282817.597460416 1950655.5895165026)
Sudbury,Sudbury,46.49,-81.01,Canada,CA,CAN,Ontario,,166004.0,1124539524,POINT (7038195.819888189 1220193.3412176396)
Saguenay,Saguenay,48.4167,-71.0667,Canada,CA,CAN,Quebec,,144723.0,1124001930,POINT (7715849.147145435 1614131.5759233297)
Thunder Bay,Thunder Bay,48.3822,-89.2461,Canada,CA,CAN,Ontario,,108843.0,1124398712,POINT (6394530.45157896 1364210.9522391893)
Lethbridge,Lethbridge,49.6942,-112.8328,Canada,CA,CAN,Alberta,,98406.0,1124321200,POINT (4718458.786109579 1752503.3321429323)
Cape Breton,Cape Breton,46.1389,-60.1931,Canada,CA,CAN,Nova Scotia,,93694.0,1124000383,POINT (8575840.09962106 1713092.6159862785)
Prince George,Prince George,53.9169,-122.7494,Canada,CA,CAN,British Columbia,,76708.0,1124733292,POINT (4281105.267219159 2446557.648504484)
Belleville,Belleville,44.1667,-77.3833,Canada,CA,CAN,Ontario,,75052.0,1124786959,POINT (7373176.34732864 1020317.5089871008)
Wood Buffalo,Wood Buffalo,57.6042,-111.3284,Canada,CA,CAN,Alberta,,72326.0,1124001123,POINT (5082552.91112069 2545734.5904415324)
Sault Ste. Marie,Sault Ste. Marie,46.5333,-84.35,Canada,CA,CAN,Ontario,,72051.0,1124810690,POINT (6781226.476565035 1187731.1435269671)
Grande Prairie,Grande Prairie,55.1708,-118.7947,Canada,CA,CAN,Alberta,,64141.0,1124505481,POINT (4567095.248138163 2459347.5885374025)
Medicine Hat,Medicine Hat,50.0417,-110.6775,Canada,CA,CAN,Alberta,,63382.0,1124303972,POINT (4877254.189461268 1741648.6289577193)
Brandon,Brandon,49.8483,-99.95,Canada,CA,CAN,Manitoba,,51313.0,1124239939,POINT (5622057.151690259 1559955.0595168704)
Rimouski,Rimouski,48.45,-68.53,Canada,CA,CAN,Quebec,,48935.0,1124433645,POINT (7891496.431874419 1681587.2453428183)
Courtenay,Courtenay,49.6878,-124.9944,Canada,CA,CAN,British Columbia,,48917.0,1124324905,POINT (3922110.678178227 2112357.3027813085)
Rouyn-Noranda,Rouyn-Noranda,48.2333,-79.0167,Canada,CA,CAN,Quebec,,42313.0,1124267752,POINT (7151005.867778884 1439992.0409540609)
Timmins,Timmins,48.4667,-81.3333,Canada,CA,CAN,Ontario,,41145.0,1124760634,POINT (6977013.82695113 1434106.0235753267)
Lloydminster,Lloydminster,53.2783,-110.005,Canada,CA,CAN,Saskatchewan,,31582.0,1124051728,POINT (5023585.719452661 2070238.0424447288)
Sept-Îles,Sept-Iles,50.2167,-66.3833,Canada,CA,CAN,Quebec,,24569.0,1124406431,POINT (7962522.019709326 1921871.13018799)
Owen Sound,Owen Sound,44.5667,-80.9333,Canada,CA,CAN,Ontario,,22318.0,1124623613,POINT (7081168.612186935 1007450.1036226926)
Fort St. John,Fort St. John,56.2465,-120.8476,Canada,CA,CAN,British Columbia,,21465.0,1124517495,POINT (4502621.835557397 2619261.391547564)
